Season,Player,Age[b],Pos[c],Team,"Games
played","Field goals
made","3-pointfield goals
made","Free throws
made","Total
points",Points pergame,Ref
2011–12,Kevin Durant^ (3)[y],23,F,Oklahoma City Thunder,66,643,133,431,1850,28,[122]
2012–13,Carmelo Anthony^[z],28,F,New York Knicks,67,669,157,425,1920,28.7,[126]
2013–14 ,Kevin Durant^ (4),25,F,Oklahoma City Thunder,81,849,192,703,2593,32,[122]
2014–15,Russell Westbrook^[aa],26,G,Oklahoma City Thunder,67,627,86,546,1886,28.1,[128]
2015–16 ,Stephen Curry^[ab],28,G,Golden State Warriors,79,805,402,363,2375,30.1,[130]
2016–17 ,Russell Westbrook^ (2),28,G,Oklahoma City Thunder,81,824,200,710,2558,31.6,[128]
2017–18 ,James Harden^[ac],28,G,Houston Rockets,72,651,265,624,2191,30.4,[132]
2018–19,James Harden^ (2),29,G,Houston Rockets,78,843,378,754,2818,36.1,[132]
2019–20,James Harden^ (3),30,G,Houston Rockets,68,672,299,692,2335,34.3,[132]
2020–21,Stephen Curry^ (2),32,G,Golden State Warriors,63,658,337,362,2015,32,[130]
2021–22,Joel Embiid^[ad],27,C,Philadelphia 76ers,68,666,93,654,2079,30.6,[134]
